realSum,room_type,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,dist
185.79975694119844,Private room,2,TRUE,10,98,3.582210844251585
194.9144619986912,Private room,5,FALSE,9,86,3.5254103004986552
176.21763111152657,Private room,2,FALSE,9,91,3.801712817590346
207.7685332336169,Private room,3,TRUE,10,97,0.9824081724298934
150.74319902776477,Private room,2,FALSE,10,99,8.869697201153345
139.29139010937644,Private room,2,FALSE,8,87,3.544664561505696
417.4067495559502,Entire home/apt,6,TRUE,10,97,3.838823653766812
135.55202393194352,Private room,2,TRUE,10,96,3.7314525410538897
260.8207908759465,Private room,2,TRUE,10,100,9.113951206307854
191.17509582125828,Entire home/apt,3,TRUE,10,98,13.62054945396812
235.58006917827427,Entire home/apt,2,TRUE,10,94,2.576319513314146
95.12012713845004,Private room,2,FALSE,9,90,3.5562896704421676
229.73730952603532,Private room,3,FALSE,10,98,9.974867072500617
208.7033747779751,Entire home/apt,2,FALSE,10,100,5.787913939105444
266.66355052818545,Entire home/apt,6,FALSE,8,87,1.1977659341124332
375.5725904459194,Entire home/apt,2,FALSE,10,100,6.998010723417212
285.36038141535005,Entire home/apt,5,FALSE,8,88,1.1880879467190442
577.4983640272973,Entire home/apt,3,FALSE,10,80,10.609089228646676
148.4060951668692,Shared room,6,FALSE,9,92,0.9327523073436862
127.60587080489856,Private room,2,TRUE,10,98,2.485257836157315
237.68346265308028,Private room,2,TRUE,10,99,4.028535232538124
116.15406188651022,Private room,3,FALSE,10,90,3.4317474648340216
95.12012713845004,Private room,2,FALSE,9,90,3.5142041180152255
113.58324763952508,Private room,4,FALSE,10,88,3.544443752849544
146.30270169206318,Private room,2,FALSE,9,91,4.362696099001016
179.72328690286994,Private room,2,TRUE,9,97,2.3107941438712323
153.08030288866036,Private room,4,FALSE,9,87,3.093521354414269
113.58324763952508,Private room,5,FALSE,10,89,3.6132871806269464
115.92035150042068,Private room,2,TRUE,10,98,9.090689165660976
295.6436384032906,Entire home/apt,6,FALSE,9,89,3.0935411495971534
160.0916144713471,Private room,2,FALSE,9,95,1.826981009246497
141.62849397027202,Private room,2,TRUE,10,99,3.984079942867289
202.86061512573616,Entire home/apt,3,FALSE,8,80,5.445712900855551
202.86061512573616,Entire home/apt,3,FALSE,10,95,5.445690468894387
185.5660465551089,Private room,2,FALSE,10,93,4.179491753270921
92.78302327755443,Private room,2,FALSE,8,88,7.037375351237348
904.6929045526782,Entire home/apt,2,FALSE,10,100,13.846346364219896
142.7970459007198,Private room,4,TRUE,9,92,4.225001129607338
170.37487145928765,Private room,2,TRUE,10,99,2.334331902550123
644.80695522109,Entire home/apt,6,TRUE,10,100,4.863902983898238
260.8207908759465,Private room,2,TRUE,10,97,0.49012413413140105
293.5402449284846,Entire home/apt,2,TRUE,10,99,5.593760344909161
147.2375432364214,Entire home/apt,2,FALSE,9,92,5.37840974846249
191.40880620734785,Private room,2,TRUE,10,99,3.022726787841901
139.29139010937644,Private room,2,FALSE,10,98,2.6235298784667016
93.95157520800224,Private room,2,FALSE,10,94,10.2053207146625
